keys,en,uk
anomaly.corridor_expansion.cctv_hint,CAM: Corridor vanishing point farther than yesterday.,"CAM: Точка зникнення коридору далі, ніж учора."
anomaly.duplicate_person.cctv_hint,CAM: Identical clothing on Floor 2 and Floor 4.,CAM: Однаковий одяг на 2 і 4 поверсі.
anomaly.endless_staircase.cctv_hint,CAM: Same landing appears twice in one feed.,CAM: Той самий майданчик двічі на одному відео.
anomaly.faceless_tenant.cctv_hint,CAM: Figure facing camera. Face region flat / absent.,CAM: Фігура дивиться в камеру. Область обличчя плоска / відсутня.
anomaly.fake_child_voice.cctv_hint,CAM: Small figure. Movement pattern non-childlike.,CAM: Мала фігура. Рух не схожий на дитячий.
anomaly.wrong_apartment_number.cctv_hint,CAM: Unit label reads 4B but directory shows 4C.,"CAM: Табличка 4B, у довіднику — 4C."
call.brownout_01.caller_name,Building grid (auto),Мережа будинку (авто)
call.brownout_01.notes,Electrical maintenance only. Do NOT cut power building-wide.,Лише електрика. НЕ вимикати живлення на весь будинок.
call.brownout_01.opening,Automated tenant ticket #8841: lights flickering on Floor 2. Requesting status. No intruder signal. No water signal.,Автозаявка #8841: мерехтіння світла на 2 поверсі. Запит статусу. Без сигналу вторгнення. Без води.
call.brownout_01.q.camera.response,Visual confirmation recommended. No anomaly class assigned.,Рекомендовано візуальне підтвердження. Клас аномалії не призначено.
call.brownout_01.q.location.response,Floor 2 east corridor. Panels 2E-12 through 2E-19.,Східний коридор 2 поверху. Щити 2E-12 — 2E-19.
call.brownout_01.q.timeline.response,Intermittent since 01:40. Duration per flicker: 0.3 seconds.,"Періодично з 01:40. Тривалість спалаху: 0,3 с."
call.child_laugh_01.caller_name,Unknown child,Невідома дитина
call.child_laugh_01.notes,Vocal analysis: synthetic child profile. Figure on CAM moves at wrong height.,Голос синтетичний. Фігура на CAM — хибна висота.
call.child_laugh_01.opening,"Mister operator, wanna play hide and seek? I'm hiding on every floor. You're it.","Пане операторе, зіграємо в хованки? Я ховаюсь на кожному поверсі. Ви водите."
call.child_laugh_01.q.appearance.response,Red coat. Like the other one. You'll see me when you lose.,"Червоне пальто. Як та інша. Побачите мене, коли програєте."
call.child_laugh_01.q.camera.response,Look at the monitor. I'm waving. Why aren't you waving back?,Дивіться на монітор. Я махаю. Чому не махаєте назад?
call.child_laugh_01.q.location.response,Behind you. In the walls. On the stairs. Guess.,За вами. У стінах. На сходах. Вгадайте.
call.child_laugh_01.q.timeline.response,We started when you sat down. You didn't hear the rules?,"Почали, коли ви сіли. Ви не чули правил?"
call.corridor_01.caller_name,Anonymous,Анонім
